econ_lane,matched_terms,econ_score,article_key,title,source,published_at,uid,first_seen_digest,last_seen_digest,observation_count,first_feed_topic,first_window_type,first_source_file
debt,deuda | salarios,7,content:fbd6129d52d11253e56d72a9325f34563b5b67ab,"El drama económico que el pacto Milei-Trump no resolverá: salarios a la baja, deuda familiar y crisis de consumo",El Destape,2025-10-14 03:06:00+00:00,,2025-10-14 08:00:00+00:00,2025-10-14 08:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20251014T08_All_Topics_03.md
reserves,banco central | dolar | reservas,7,content:3ea2139904828dbb7e491e4f27a5916be09f1c80,El dólar blue se desplomó en el cierre de este 13 de octubre y aumentaron las reservas del Banco Central,Perfil,2025-10-13 20:21:00+00:00,,2025-10-14 00:00:00+00:00,2025-10-14 08:00:00+00:00,3,All Topics,4h,data/output_digests/headlines_4h_window_20251014T00_All_Topics_05.md
external,importaciones,2,content:5db5984e7d592be0ec228b50f086687457e377f3,"Las importaciones chinas de petróleo aumentan un 3,9% interanual en septiembre, caen un 4,5% frente a agosto",La Nación,2025-10-13 12:00:00+00:00,,2025-10-13 16:00:00+00:00,2025-10-14 12:00:00+00:00,4,All Topics,4h,data/output_digests/headlines_4h_window_20251013T16_All_Topics_03.md
external,exportaciones,2,content:5bd49d4aa1f9742755112ab212a88b1d8acfa6aa,"Las exportaciones chinas aceleraron al 8,3% su crecimiento en septiembre",La Nación,2025-10-13 08:20:00+00:00,,2025-10-13 16:00:00+00:00,2025-10-14 12:00:00+00:00,4,All Topics,4h,data/output_digests/headlines_4h_window_20251013T16_All_Topics_01.md
reserves,bcra | dolar,7,content:ecc413036fb1f4f38ffe8392b965b3e57b3cee8b,"Dólar MEP, oficial: cómo invertir tras medida anti rulo del BCRA",iProUP,2025-10-12 06:01:00+00:00,,2025-10-12 16:00:00+00:00,2025-10-12 16:00:00+00:00,1,All Topics,8h,data/output_digests/headlines_8h_window_20251012T16_All_Topics_03.md
reserves,banco central | dolar | inflacion,9,content:27addc71ffb48bf7c845da6969155f2d4bdfb7ee,A cuánto estarán la inflación y el dólar a fin de año según las consultoras que releva el Banco Central,Perfil,2025-10-06 21:46:00+00:00,,2025-10-07 00:00:00+00:00,2025-10-07 08:00:00+00:00,3,All Topics,4h,data/output_digests/headlines_4h_window_20251007T00_All_Topics_07.md
reserves,bcra | dolar | inflacion,9,content:5228c2ae5463ee53431777c60269a2803d910b7b,Las nuevas proyecciones de los analistas del REM del BCRA para el dólar y la inflación en lo que queda de 2025,TN,2025-10-06 21:14:00+00:00,,2025-10-07 04:00:00+00:00,2025-10-07 08:00:00+00:00,2,All Topics,4h,data/output_digests/headlines_4h_window_20251007T04_All_Topics_02.md
reserves,bcra | dolar,7,content:3235dc14739d8478d8d13f932e3d40c4ba38c19a,Qué dijo el presidente del BCRA sobre el corte abrupto de la venta de dólar oficial en las principales billeteras virtuales,Infobae,2025-09-30 22:17:00+00:00,,2025-10-02 12:00:00+00:00,2025-10-06 12:00:00+00:00,2,All Topics,2day,data/output_digests/headlines_2day_window_20251002T12_All_Topics_03.md
reserves,bcra | dolar,7,content:540981df23dcfddd6c86b864e2a8f51edc783d54,Intervención en futuros de dólar del BCRA para contener al mercado: a cuánto llegó,El Cronista,2025-09-30 22:17:00+00:00,,2025-10-02 12:00:00+00:00,2025-10-02 12:00:00+00:00,1,All Topics,2day,data/output_digests/headlines_2day_window_20251002T12_All_Topics_03.md
reserves,banco central | dolar,7,content:bf2ac08dfd6ec67a0ecb29f99bdbe45ddc09ead8,Las billeteras virtuales no podrán vender dólar oficial: qué dijo el Banco Central,Perfil,2025-09-30 21:53:00+00:00,,2025-10-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20251001T00_All_Topics_07.md
